SampleID,g__Actinomyces;,g__Acinetobacter;,g__Lactobacillus;,g__Bacteroides;,g__Simplicispira;,g__Rothia;,g__Anaerococcus;,g__Staphylococcus;,g__Burkholderia;,g__Neisseria;,g__Corynebacterium;,g__Porphyromonas;,g__Aeromonas;,g__Streptococcus;,Unclassified,g__Stenotrophomonas;,g__Haemophilus;,g__Veillonella;,g__Macrococcus;,g__Leptotrichia;,g__Propionibacterium;,g__Prevotella;,g__Granulicatella;,g__Lautropia;,g__Chryseobacterium;,g__Peptoniphilus;,g__Pseudomonas;,g__Streptophyta_Group;,g__Gemella;,g__TM7;,g__Rhodococcus;,g__Bifidobacterium;,g__Enhydrobacter;,g__Massilia;,g__Brevundimonas;,g__Ralstonia;,g__Paracoccus;,g__Sphingomonas;,g__Amaricoccus;,g__Neisseriaceae_Group;
S_15277495,0.00311706,0.00588941,0.00707144,0.0188785,0.00234696,0.000268923,0.00542735,0.127653,0.000953453,0.00303149,0.0100316,0.00276257,0.00450323,0.0190079,0.00788432,0.00139351,0.00453094,0.00640525,0.000220028,0.000708978,0.340652,0.00875832,0.00281146,0.000317818,0.000220028,0.00178467,0.00240424,0.0135684,0.00864627,0.000122238,0.0046328,0.113265,0.000537845,0.000361823,0.00207804,0.0203892,0.00029337,0.000501174,0.000635635,0
S_15277496,0.0028775,0.000474007,0.000336186,0.000122684,0.00220831,0.00327901,0.000624574,0.0050122,0.000713799,0.00954706,0.00161906,0.00475122,0.000111531,0.0677637,0.000356899,0.00433484,0.00833509,0.0599814,0,0.00104839,0.729524,0.0157147,0.0445009,0.00104839,4.46E-05,0.00014499,0.000158932,0.000624574,0.0205068,0.00102609,6.69E-05,0.000479583,0.000602268,0.000289981,0.000156143,0,0.000758411,0.000312287,0.000602268,0
S_15277497,0.00124705,0.00388323,0.0022536,8.91E-05,0.00169243,0.000872936,0.00172806,0.171398,0.000481005,0.00156772,0.0176725,0.00042756,0.00177408,0.0120824,0.000917473,0.00046319,0.00471801,0.00397275,0,0.000338485,0.700397,0.00361288,0.00171024,5.34E-05,0.00039193,0.0029662,0.000590271,0.00163898,0.00166273,0.00053445,0.00531778,0.00021378,0.00220906,0.000185276,0.00812365,0.0254755,0.0007126,0.000543358,0.000766046,0
S_15277498,0,0,0,0,0.00023902,0,0,0.0683119,0,0,0.0341998,0,0,0.000203167,0,0,0,0,0,0,0.895489,0,0,0,0,0,0.000143412,0,7.97E-05,0,0.00011951,0,0,0,0.00023902,0.000896325,0,0,0,0
S_15277499,0.000283458,0.00274422,8.86E-05,0.000678274,0.00233853,0.000885805,0,0.0132942,0.000673212,0.00180704,0.0120588,0.000744076,0.0022588,0.00497823,0.000744076,0.000342511,0.00184247,0.000496051,0,0,0.898171,0.000212593,0.0012047,0,0,0,0.00114092,7.09E-05,0.000708644,0,0.00651953,0,0.000106297,0.000425187,0.00301174,0.0293024,0.000283458,0.000460619,0.000885805,0
S_15277500,0.00684575,0.00314725,0.000863869,0.00136915,0.0251491,0.00144121,0,0.0365563,0.00497218,0.00151327,0.00327876,0.00208976,0.00266624,0.0089235,0.00468394,0.000504424,0.000360303,0.00518836,0,0.000288242,0.750295,0.00665119,0.000504424,0,0.000720606,0.000792666,0.003334,0.00100885,0.00232996,0,0.00389127,0.00291845,0.0367509,0.00403539,0.00295448,0.00165739,0.00583691,0.00108091,0.000144121,0
S_15277501,0.00330064,0.00194302,0.00107945,0.000348746,0.00543878,0.000747314,0,0.272205,0.000581244,0.00402719,0.00664279,0.00016607,0.000591623,0.012813,0.000622762,0.00016607,0.00101718,0.0028647,0,0.000581244,0.591665,0.000332139,0.00303077,0.00294774,0.00220042,0,0.000705796,0,0.00150847,0.000747314,0.000539727,0.000539727,0.0453786,0.00052312,0.00215891,0.000415174,0.0088017,0.000456692,0.000290622,6.23E-05
S_15277502,0,0.000476034,0.0027234,0.00152714,0.000807978,0,0.000161596,0.00846223,0.00010773,0,0.0012389,0,0.000141396,0.00048748,0.0012389,9.43E-05,0.000305236,0.000161596,0,0,0.942183,0.00038783,0,0,8.08E-05,0.00010773,0.000368079,0.000215461,5.39E-05,0,0.000161596,0.00689475,0.000323191,0.00010773,0.00301645,5.39E-05,0.00667929,0.000121197,0,0
S_15277503,0.00524266,0.00721389,0.00102856,0.00122773,0.0186067,0.0107903,0.000343156,0.0529299,0.00316466,0.0251647,0.0149527,0.000838825,0.00229724,0.0251571,0.00217332,0.000381284,0.00774007,0.00529985,0.000305027,0.0038891,0.0960836,0.00327523,0.00457541,0.0030884,0.186639,0.000152514,0.00165859,0.00549049,0.00419412,0.00156326,0.000743504,0.000978629,0.189231,0.00258511,0.00484231,0.000838825,0.0072444,0.0036222,0.000533798,0.0747031
S_15277504,0.00249083,0.00750435,0.000125507,0,0.00305079,0.00150608,7.72E-05,0.0103804,0.000399048,0.00698977,0.00162837,0.00030894,0.000530991,0.0110884,0.000502028,0.00020596,0.00316664,0.00212396,0,0.000733733,0.820082,0.0013323,0.00266461,0.00015447,0.00115853,0,0.0010446,0.00579263,0.00123576,7.72E-05,0.000675807,0,0.0138637,0.00046341,0.00343696,0.00015447,0.000926821,0.00030894,0.000115853,0.0774571
S_15277505,0.00127759,0.000698247,0.00493748,0,0.00804501,0.00161912,0.0177092,0.0264474,0.00111315,0.00533804,0.00502181,0.00356713,0.00032256,0.00494676,0.000569223,0.00101195,0.00197331,0.000379482,0,0.000278287,0.841336,0.00362405,0.00172032,0.000101195,0.000101195,0.012135,0.00145152,0.000581872,0.000640903,0.000278287,0.00189741,0,0.00237809,0.00345581,0.0040984,0.000936055,0.000556573,0.000303585,5.06E-05,0
S_15277506,0,0.00015367,0,0,0.00117348,0,0,0.0478667,0.00011176,0,0.00838199,0,8.38E-05,3.73E-05,0,0,0,0,0,0,0.941577,0,0,0,0,0,2.24E-05,0,0,0,0.00016764,0,0,3.35E-05,0.00011176,0,0,0.00011176,0,0
